node	type
helminthiasis	disease
helminthiasis, animal	disease
hemianopsia	disease
hemobilia	disease
hemophilia a	disease
hepatitis, viral, human	disease
hepatopulmonary syndrome	disease
hernia, abdominal	disease
herpes zoster	disease
horner syndrome	disease
horse diseases	disease
hypercapnia	disease
hypochondriasis	disease
hypohidrosis	disease
hypopharyngeal neoplasms	disease
hypotrichosis	disease
hypoventilation	disease
ichthyosis, x-linked	disease
inflammatory bowel disease 13	disease
intermittent claudication	disease
intestinal fistula	disease
intestinal polyposis	disease
intracranial hemorrhage, hypertensive	disease
intrahepatic cholangiocarcinoma	disease
iris diseases	disease
iritis	disease
juvenile pauciarticular chronic arthritis	disease
klatskin&apos;s tumor	disease
kluver-bucy syndrome	disease
kyphosis	disease
lambert-eaton myasthenic syndrome	disease
leg ulcer	disease
leukemia, b-cell	disease
leukemia, myeloid, chronic, atypical, bcr-abl negative	disease
leukemia, myelomonocytic, acute	disease
leukemia, radiation-induced	disease
leukoplakia	disease
leukoplakia, oral	disease
liddle syndrome	disease
lipomatosis	disease
livedo reticularis	disease
loiasis	disease
lupus vasculitis, central nervous system	disease
lyme disease	disease
lymphohistiocytosis, hemophagocytic	disease
lymphoma, large-cell, anaplastic	disease
lymphoma, large-cell, immunoblastic	disease
lymphomatoid granulomatosis	disease
macroglossia	disease
malabsorption syndromes	disease
malaria, cerebral	disease
malaria, vivax	disease
malignant carcinoid syndrome	disease
malignant mesenchymal tumor	disease
marfan syndrome	disease
maxillary diseases	disease
meige syndrome	disease
meningeal carcinomatosis	disease
microscopic polyangiitis	disease
mitochondrial cytopathy	disease
mitochondrial encephalopathy	disease
mitochondrial myopathy with lactic acidosis	disease
mitral valve stenosis	disease
monkey diseases	disease
mucopolysaccharidosis iii	disease
multiple system atrophy	disease
muscular dystrophy, duchenne	disease
mycoplasma infections	disease
mycotoxicosis	disease
myelitis	disease
myelitis, transverse	disease
myokymia	disease
nematode infections	disease
neoplasms, radiation-induced	disease
nerve compression syndromes	disease
neuromyelitis optica	disease
night terrors	disease
nonpuerperal galactorrhea	disease
no-reflow phenomenon	disease
olfactory nerve diseases	disease
oligomenorrhea	disease
onchocerciasis	disease
oral submucous fibrosis	disease
orbital pseudotumor	disease
orthostatic intolerance	disease
osteitis deformans	disease
otitis media with effusion	disease
oxyuriasis	disease
pallor	disease
paranasal sinus neoplasms	disease
paraparesis, spastic	disease
paraphilias	disease
parasitemia	disease
parasitic diseases	disease
pars planitis	disease
pelvic infection	disease
pemphigus, benign familial	disease
penile neoplasms	disease
pericarditis, constrictive	disease
persistent vegetative state	disease
peters anomaly	disease
pharyngeal diseases	disease
pityriasis rubra pilaris	disease
pleural effusion, malignant	disease
pneumocephalus	disease
pneumonia, pneumocystis	disease
polymorphic catecholergic ventricular tachycardia	disease
post-exercise hypotension	disease
postural orthostatic tachycardia syndrome	disease
prader-willi syndrome	disease
pregnancy complications, neoplastic	disease
pregnancy, ectopic	disease
primary ovarian insufficiency	disease
prostatism	disease
prosthesis failure	disease
pseudobulbar palsy	disease
pulmonary aspergillosis	disease
pulmonary veno-occlusive disease	disease
pyelitis	disease
pyuria	disease
radial neuropathy	disease
rapidly progressive glomerulonephritis with pulmonary hemorrhage	disease
respiratory aspiration	disease
retinal dysplasia	disease
retroviridae infections	disease
rheumatic heart disease	disease
rheumatoid vasculitis	disease
rhinitis, allergic, seasonal	disease
rupture	disease
rupture, spontaneous	disease
sarcoma, clear cell	disease
sarcoma, experimental	disease
schizophrenia and disorders with psychotic features	disease
schizophrenia, childhood	disease
schizophrenia, disorganized	disease
seminoma	disease
severe acute respiratory syndrome	disease
severe cutaneous adverse reaction, susceptibility to	disease
sialadenitis	disease
simian acquired immunodeficiency syndrome	disease
situs inversus	disease
skin diseases, infectious	disease
skin diseases, vesiculobullous	disease
sleep disorders, intrinsic	disease
sleep-wake transition disorders	disease
smith-magenis syndrome	disease
sneezing	disease
snoring	disease
spermatogenic failure 6	disease
sphincter of oddi dysfunction	disease
spinal cord vascular diseases	disease
spinal stenosis	disease
sporotrichosis	disease
strongyle infections, equine	disease
sunburn	disease
sunct syndrome	disease
sweet syndrome	disease
syndactyly	disease
systemic candidiasis	disease
systemic inflammatory response syndrome	disease
tendon injuries	disease
tetanus	disease
thoracic neoplasms	disease
thyroiditis, autoimmune	disease
tinea	disease
tinea capitis	disease
tinea pedis	disease
tonic pupil	disease
tonsillitis	disease
tooth abrasion	disease
tooth discoloration	disease
toxoplasmosis, congenital	disease
toxoplasmosis, ocular	disease
tracheal stenosis	disease
trichinellosis	disease
trichostrongyloidiasis	disease
trophoblastic neoplasms	disease
trypanosomiasis, african	disease
tuberculosis, osteoarticular	disease
typhus, endemic flea-borne	disease
urethral obstruction	disease
urinary bladder fistula	disease
urinary bladder neck obstruction	disease
urinary incontinence, stress	disease
uterine cervicitis	disease
vaginitis	disease
vesico-ureteral reflux	disease
vesicovaginal fistula	disease
vitamin a deficiency	disease
warfarin syndrome	disease
wernicke encephalopathy	disease
afibrinogenemia congenital	disease
aids-associated nephropathy	disease
auditory neuropathy	disease
carcinoma, islet cell	disease
cholecystolithiasis	disease
cholestasis, benign recurrent intrahepatic 2	disease
cholestasis, progressive familial intrahepatic 2	disease
coproporphyria, hereditary	disease
extensively drug-resistant tuberculosis	disease
fanconi like syndrome	disease
insulinoma	disease
nocturnal myoclonus syndrome	disease
polydipsia	disease
surgical wound infection	disease
varicose ulcer	disease
angiomatosis	disease
dislocations	disease
epilepsy, post-traumatic	disease
fascioliasis	disease
gingival hemorrhage	disease
goiter, nodular	disease
immune complex diseases	disease
intestinal diseases, parasitic	disease
lung diseases, parasitic	disease
mite infestations	disease
speech disturbance - use of faulty phrasing and unrelated words	disease
strongyloidiasis	disease
asbestosis	disease
hyperoxia	disease
neoplastic processes	disease
neuritis, autoimmune, experimental	disease
opisthorchiasis	disease
diverticulitis	disease
gallbladder disease 1	disease
retinal detachment	disease
anemia, sideroblastic spinocerebellar ataxia	disease
appendiceal neoplasms	disease
beta-thalassemia	disease
foot injuries	disease
hand injuries	disease
antley-bixler syndrome phenotype	disease
candidiasis, cutaneous	disease
afibrinogenemia	disease
alpha 1-antitrypsin deficiency	disease
anemia, hypochromic microcytic	disease
antithrombin iii deficiency	disease
asthma, exercise-induced	disease
blood loss, surgical	disease
critical illness	disease
croup	disease
decompression sickness	disease
endometritis	disease
familial cerebral cavernous malformation	disease
fractures, closed	disease
friedreich ataxia	disease
head injuries, closed	disease
hemochromatosis	disease
hereditary angioedema type iii	disease
leriche syndrome	disease
mixed connective tissue disease	disease
multi-centric castleman&apos;s disease	disease
nasal polyps	disease
optic nerve injuries	disease
parasomnias	disease
postphlebitic syndrome	disease
primary amyloidosis	disease
primary graft dysfunction	disease
protozoan infections	disease
retrobulbar hemorrhage	disease
sarcoma, myeloid	disease
subarachnoid hemorrhage, traumatic	disease
toxemia	disease
vulvitis	disease
adjustment disorders	disease
anus diseases	disease
body dysmorphic disorders	disease
bone demineralization, pathologic	disease
dermatitis herpetiformis	disease
granuloma annulare	disease
hashimoto disease	disease
hyperthyroxinemia	disease
jaundice, chronic idiopathic	disease
lead poisoning, nervous system, childhood	disease
listeriosis	disease
liver diseases, parasitic	disease
mitochondrial encephalomyopathies	disease
neurosyphilis	disease
pneumocystis infections	disease
porphyria, variegate	disease
rectal fistula	disease
urinary incontinence, urge	disease
urinoma	disease
bacteriuria	disease
balkan nephropathy	disease
dysentery, bacillary	disease
salmonella food poisoning	disease
vibrio infections	disease
acinetobacter infections	disease
anthrax	disease
bordetella infections	disease
brachydactyly with hypertension	disease
dent disease	disease
flavobacteriaceae infections	disease
glossalgia	disease
hyperostosis, cortical, congenital	disease
impotence, vasculogenic	disease
moraxellaceae infections	disease
neisseriaceae infections	disease
obstetric labor complications	disease
osteitis	disease
osteoarthropathy, secondary hypertrophic	disease
otitis	disease
pulmonary atresia	disease
rickettsia infections	disease
typhoid fever	disease
congenital hyperinsulinism	disease
diabetes mellitus, permanent neonatal	disease
diabetes mellitus, transient neonatal, 2	disease
diabetic coma	disease
hyperinsulinemic hypoglycemia, familial, 1	disease
hypoglycemia, leucine-induced	disease
cantu syndrome	disease
cardiomyopathy, dilated, 1o	disease
sleep apnea syndromes	disease
hemangiopericytoma	disease
keratoacanthoma	disease
zellweger syndrome	disease
carcinoma 256, walker	disease
homocystinuria	disease
imerslund-grasbeck syndrome	disease
subacute combined degeneration	disease
enterovirus infections	disease
encephalitis, viral	disease
herpesviridae infections	disease
herpes zoster ophthalmicus	disease
herpes zoster oticus	disease
malignant hyperthermia	disease
miyoshi myopathy	disease
multiple endocrine neoplasia	disease
nutritional and metabolic diseases	disease
retinal necrosis syndrome, acute	disease
temporomandibular ankylosis	disease
lipid metabolism, inborn errors	disease
gallbladder disease 4	disease
murine acquired immunodeficiency syndrome	disease
post-dural puncture headache	disease
burkholderia infections	disease
chylothorax	disease
kidney disorder involving deposition of calcium and oxalate or phosphate in the renal tubules	disease
polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	disease
refsum disease	disease
triglyceride storage disease with impaired long-chain fatty acid oxidation	disease
mastocytosis, cutaneous	disease
myeloproliferative disorders	disease
chromosome 22, microdeletion 22 q11	disease
low tension glaucoma	disease
filariasis	disease
leukocyte disorders	disease
d-bifunctional protein deficiency	disease
spinal curvatures	disease
isobutyryl-coa dehydrogenase deficiency	disease
acyl-coa dehydrogenase family, member 9, deficiency of	disease
medium chain acyl coa dehydrogenase deficiency	disease
short chain acyl coa dehydrogenase deficiency	disease
2-methylbutyryl-coa dehydrogenase deficiency	disease
neuronal ceroid-lipofuscinoses	disease
jet lag syndrome	disease
muscular dystrophy, facioscapulohumeral	disease
osteochondritis dissecans, short stature, and early-onset osteoarthritis	disease
spondyloepimetaphyseal dysplasia, aggrecan type	disease
spondyloepiphyseal dysplasia, kimberley type	disease
acute chest syndrome	disease
beta ketothiolase deficiency	disease
common bile duct diseases	disease
frostbite	disease
hemorrhoids	disease
herpes labialis	disease
hyaline membrane disease	disease
hip fractures	disease
paroxysmal nonkinesigenic dyskinesia	disease
allanson pantzar mcleod syndrome	disease
barotrauma	disease
chilblains	disease
evan&apos;s syndrome	disease
eyelid neoplasms	disease
fasciitis	disease
glossitis	disease
glycogen storage disease type v	disease
hearing loss, mixed conductive-sensorineural	disease
infarction, anterior cerebral artery	disease
microvascular complications of diabetes, susceptibility to, 1	disease
microvascular complications of diabetes, susceptibility to, 3	disease
parasystole	disease
pleurodynia, epidemic	disease
pneumonia, lipid	disease
pneumonia, viral	disease
pneumoperitoneum	disease
polyps	disease
renal tubular dysgenesis	disease
segmental glomerulosclerosis	disease
tietze&apos;s syndrome	disease
ascariasis	disease
cat diseases	disease
flea infestations	disease
hookworm infections	disease
hymenolepiasis	disease
oxyurida infections	disease
tick infestations	disease
trichuriasis	disease
cayler cardiofacial syndrome	disease
aggressive periodontitis	disease
chromosome 13q trisomy	disease
dementia, multi-infarct	disease
esophageal spasm, diffuse	disease
fluorosis, dental	disease
foodborne diseases	disease
fusariosis	disease
heart rupture	disease
hematoma, subdural, spinal	disease
hyperglycinemia, nonketotic	disease
job&apos;s syndrome	disease
myofascial pain syndromes	disease
neural tube defect, folate-sensitive	disease
parasitic diseases, animal	disease
schistosomiasis	disease
schistosomiasis haematobia	disease
acrocallosal syndrome	disease
anemia, diamond-blackfan	disease
nasopharyngitis	disease
thalassemia	disease
puerperal infection	disease
duodenitis	disease
pilonidal sinus	disease
peroxisomal acyl-coa oxidase deficiency	disease
spondyloenchondrodysplasia	disease
malonic aciduria	disease
methylmalonic acidemia	disease
mental retardation, x-linked 63	disease
myopathy, congenital, with fiber-type disproportion	disease
nemaline myopathy 3	disease
abortion, habitual	disease
aortic aneurysm, familial thoracic 6	disease
chylous ascites	disease
idiopathic pulmonary fibrosis	disease
leukemia, hairy cell	disease
leukemia, myelomonocytic, juvenile	disease
neoplasms, multiple primary	disease
nephrogenic fibrosing dermopathy	disease
pancreatic islet cell tumors	disease
thymoma	disease
juvenile-onset dystonia	disease
smoke inhalation injury	disease
neoplasms, mesothelial	disease
atrial septal defect 5	disease
cardiomyopathy, familial hypertrophic, 1	disease
cardiomyopathy, familial hypertrophic, 11	disease
refractive errors	disease
acetabular dysplasia	disease
deafness, autosomal dominant 20	disease
cecal neoplasms	disease
muscle neoplasms	disease
cardiomyopathy, dilated, 1aa	disease
hysteria	disease
takayasu arteritis	disease
myositis ossificans	disease
heterotaxy syndrome	disease
osler-rendu-weber syndrome 2	disease
aminoacylase 1 deficiency	disease
aicardi syndrome	disease
nelson syndrome	disease
pituitary acth hypersecretion	disease
severe combined immunodeficiency due to adenosine deaminase deficiency	disease
cone-rod dystrophy 9	disease
weill-marchesani syndrome	disease
weill-marchesani-like syndrome	disease
ehlers-danlos syndrome, type vii, autosomal recessive	disease
acromicric dysplasia	disease
geleophysic dysplasia 1	disease
ectopia lentis 2, isolated, autosomal recessive	disease
aicardi-goutieres syndrome	disease
dyschromatosis symmetrica hereditaria 1	disease
coenzyme q10 deficiency, primary, 1	disease
spinocerebellar ataxia, autosomal recessive 9	disease
hypercalciuria, absorptive, 2	disease
colonic polyps	disease
asphyxia neonatorum	disease
echinococcosis, hepatic	disease
giardiasis	disease
autonomic dysreflexia	disease
facial asymmetry	disease
chromosome fragility	disease
hypertension, essential	disease
parkinson disease, late-onset	disease
adiponectin, serum level of, quantitative trait locus 2	disease
adiponectin, serum level of, quantitative trait locus 3	disease
diabetes, gestational	disease
dystonia, dopa-responsive	disease
neurodegeneration with brain iron accumulation (nbia)	disease
parkinson disease, juvenile, autosomal recessive	disease
phencyclidine abuse	disease
segawa syndrome, autosomal recessive	disease
shy-drager syndrome	disease
transvestism	disease
gambling	disease
heart murmurs	disease
hyperemesis gravidarum	disease
neoplasms, squamous cell	disease
thyroid hormone resistance syndrome	disease
gait apraxia	disease
smooth muscle tumor	disease
aging, premature	disease
protoporphyria, erythropoietic	disease
adenylosuccinate lyase deficiency	disease
mental retardation, x-linked, associated with fragile site fraxe	disease
spinocerebellar ataxia 28	disease
aspartylglucosaminuria	disease
ciguatera poisoning	disease
klippel-trenaunay-weber syndrome	disease
glycogen storage disease type iii	disease
dysentery, amebic	disease
lipodystrophy, congenital generalized, type 1	disease
rhizomelic chondrodysplasia punctata, type 3	disease
congenital myasthenic syndrome ib	disease
acquired cjd	disease
anemia, neonatal	disease
autoimmune lymphoproliferative syndrome	disease
craniofacial dysostosis	disease
parotitis	disease
soft tissue injuries	disease
conversion disorder	disease
echolalia	disease
mental retardation, x-linked	disease
primary hyperoxaluria type 1	disease
amino acid metabolism, inborn errors	disease
bell palsy	disease
flavivirus infections	disease
hemorrhagic fever, american	disease
hemorrhagic fever, crimean	disease
hemorrhagic fever with renal syndrome	disease
hepatitis a	disease
hypertensive retinopathy	disease
lassa fever	disease
orthomyxoviridae infections	disease
paramyxoviridae infections	disease
phlebotomus fever	disease
reoviridae infections	disease
rift valley fever	disease
sarcoidosis, pulmonary	disease
subacute sclerosing panencephalitis	disease
joubert syndrome 3	disease
chromoblastomycosis	disease
hyperoxaluria, primary	disease
kernicterus	disease
mental fatigue	disease
pancreatic adenoma	disease
pancreatic cancer, adult	disease
sulfhemoglobinemia	disease
immunodeficiency with hyper-igm, type 2	disease
combined oxidative phosphorylation deficiency 6	disease
eosinophilic pustular folliculitis	disease
glycogen storage disease	disease
laryngomalacia	disease
nesidioblastosis	disease
preeclamptic toxemia	disease
ureaplasma infections	disease
west nile fever	disease
wound infection	disease
acth-secreting pituitary adenoma	disease
leber congenital amaurosis 4	disease
autoimmune polyendocrinopathy syndrome, type 1	disease
polyendocrinopathies, autoimmune	disease
autoimmune disease, susceptibility to, 1	disease
adenylate kinase deficiency, hemolytic anemia due to	disease
reticular dysgenesis	disease
severe combined immunodeficiency	disease
lichen nitidus	disease
cardiac conduction defect	disease
long qt syndrome 11	disease
laryngitis	disease
abortion, threatened	disease
lymphangioleiomyomatosis	disease
omphalocele exstrophy imperforate anus	disease
pityriasis lichenoides	disease
salpingitis	disease
bile acid synthesis defect, congenital, 2	disease
cestode infections	disease
diphyllobothriasis	disease
taeniasis	disease
trematode infections	disease
breast-ovarian cancer, familial, susceptibility to, 1	disease
depression, postpartum	disease
empyema	disease
fever of unknown origin	disease
myoma	disease
pedophilia	disease
polycystic liver disease	disease
macrocephaly	disease
dermatitis, photoallergic	disease
diffuse alopecia	disease
felty syndrome	disease
hyperparathyroidism, primary	disease
hypothalamic diseases	disease
porphyria, acute hepatic	disease
vulvodynia	disease
protoporphyria, erythropoietic, x-linked	disease
x-linked sideroblastic anemia	disease
abdominal abscess	disease
amebiasis	disease
bacteroides infections	disease
borrelia infections	disease
bronchiectasis	disease
central nervous system bacterial infections	disease
clostridium infections	disease
entamoebiasis	disease
heart septal defects	disease
hyperthyroxinemia, familial dysalbuminemic	disease
hypoparathyroidism familial isolated	disease
leukemia, biphenotypic, acute	disease
lyme neuroborreliosis	disease
nocardia infections	disease
pulmonary atelectasis	disease
trichomonas infections	disease
trichomonas vaginitis	disease
zinc, elevated plasma	disease
eye diseases, hereditary	disease
mucinoses	disease
urethral diseases	disease
alcohol sensitivity, acute	disease
hyperprolinemia type 2	disease
pyridoxine-dependent epilepsy	disease
glycogen storage disease xii	disease
hematoma, subdural, intracranial	disease
fructose intolerance	disease
congenital disorder of glycosylation type 1k	disease
congenital disorder of glycosylation, type ip	disease
congenital disorder of glycosylation type 1g	disease
congenital disorder of glycosylation type 1i	disease
congenital disorder of glycosylation type 1d	disease
congenital disorder of glycosylation type 1c	disease
congenital disorder of glycosylation type 1h	disease
congenital disorder of glycosylation type 1l	disease
plasma cell granuloma, pulmonary	disease
cystinuria	disease
glucosephosphate dehydrogenase deficiency	disease
hemarthrosis	disease
lafora disease	disease
myasthenia gravis, autoimmune, experimental	disease
thrombotic thrombocytopenic purpura, acquired	disease
ichthyosiform erythroderma, brocq congenital, nonbullous form	disease
periapical diseases	disease
fibrous dysplasia of bone	disease
hypophosphatasia, adult	disease
hypophosphatasia, childhood	disease
hypophosphatasia, infantile	disease
osteoporosis-pseudoglioma syndrome	disease
allergic rhinitis	disease
amyotrophic lateral sclerosis 2, juvenile	disease
hereditary spastic paralysis, infantile onset ascending	disease
primary lateral sclerosis juvenile	disease
frontonasal dysplasia 3	disease
frontonasal dysplasia 1	disease
frontonasal dysplasia 2	disease
parietal foramina	disease
parietal foramina 2	disease
bile acid synthesis defect, congenital, 4	disease
amelogenesis imperfecta, hypoplastic/hypomaturation, x-linked 1	disease
osteopathia striata cranial sclerosis	disease
persistent mullerian duct syndrome	disease
alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis	disease
megaloblastic anemia 1	disease
adenosine monophosphate deaminase deficiency	disease
bone cysts, aneurysmal	disease
angelman syndrome	disease
amyotrophic lateral sclerosis 9	disease
ergotism	disease
hypobetalipoproteinemia, familial, 2	disease
spherocytosis, type 1	disease
cardiac arrhythmia, ankyrin-b-related	disease
chondrocalcinosis 2	disease
craniometaphyseal dysplasia, autosomal dominant	disease
tooth abnormalities	disease
dental enamel hypoplasia	disease
dental pulp calcification	disease
nutrition disorders	disease
gnathodiaphyseal dysplasia	disease
muscular dystrophy, limb-girdle, type 2l	disease
scott syndrome	disease
eye infections	disease
hemangioma, capillary infantile	disease
hyalinosis, systemic	disease
dermatitis, seborrheic	disease
paratuberculosis	disease
abdominal obesity metabolic syndrome	disease
mental retardation, x-linked, syndromic, fried type	disease
familial benign hypercalcemia, type 3	disease
hermansky pudlak syndrome 2	disease
spastic paraplegia 50, autosomal recessive	disease
spastic paraplegia 48, autosomal recessive	disease
turcot syndrome	disease
hypotrichosis simplex	disease
granuloma, pyogenic	disease
hutchinson&apos;s melanotic freckle	disease
amyloidosis, familial visceral	disease
intestinal volvulus	disease
hypertriglyceridemia, familial	disease
hypercholesterolemia, autosomal dominant, type b	disease
hypobetalipoproteinemia, familial, apolipoprotein b	disease
hyperlipoproteinemia type i	disease
alzheimer disease, familial	disease
alzheimer disease type 2	disease
cerebral amyloid angiopathy	disease
lipoprotein glomerulopathy	disease
macular degeneration, age-related, 1	disease
sea-blue histiocyte syndrome	disease
candidemia	disease
cerebral amyloid angiopathy, app-related	disease
cerebral hemorrhage with amyloidosis, hereditary, dutch type	disease
colonic pseudo-obstruction	disease
fungemia	disease
labyrinthitis	disease
meningitis, fungal	disease
mucormycosis	disease
zygomycosis	disease
early-onset ataxia with oculomotor apraxia and hypoalbuminemia	disease
carcinoma, adenoid cystic	disease
diabetes insipidus, neurogenic	disease
androgen-insensitivity syndrome	disease
aspermia	disease
bulbospinal neuronopathy, x-linked recessive	disease
epispadias	disease
hypospadias 1, x-linked	disease
sexual precocity	disease
heterotopia, periventricular, autosomal recessive	disease
erythema chronicum migrans	disease
hyperargininemia	disease
impetigo	disease
pruritus vulvae	disease
slowed nerve conduction velocity, autosomal dominant	disease
mental retardation, x-linked 46	disease
epileptic encephalopathy, early infantile, 8	disease
adenocarcinoma of esophagus	disease
coffin-siris syndrome	disease
joubert syndrome 8	disease
bardet-biedl syndrome	disease
retinitis pigmentosa 55	disease
leukodystrophy, metachromatic	disease
mucopolysaccharidosis vi	disease
chondrodysplasia punctata, brachytelephalangic	disease
epileptic encephalopathy, early infantile, 1	disease
lissencephaly, x-linked, 2	disease
mental retardation, x-linked, with or without seizures, arx-related	disease
partington x-linked mental retardation syndrome	disease
proud syndrome	disease
farber lipogranulomatosis	disease
tuberculoma, intracranial	disease
congenital central hypoventilation syndrome	disease
acanthamoeba keratitis	disease
babesiosis	disease
argininosuccinic aciduria	disease
anterior segment mesenchymal dysgenesis	disease
canavan disease	disease
microcephaly 5, primary, autosomal recessive	disease
sarcoma, alveolar soft part	disease
citrullinemia	disease
bohring syndrome	disease
cerebellar ataxia, cayman type	disease
jeune syndrome	disease
atrial fibrillation, familial 1	disease
inflammatory bowel disease 10	disease
aicar transformylase/imp cyclohydrolase deficiency	disease
spastic paraplegia 3, autosomal dominant	disease
dermatitis, atopic, 1	disease
wounds, nonpenetrating	disease
parkinson disease 9	disease
emaciation	disease
alternating hemiplegia of childhood	disease
migraine, familial hemiplegic, 2	disease
dystonia 12	disease
brody myopathy	disease
deafness, autosomal recessive 12	disease
mental retardation, x-linked, with epilepsy	disease
cutis laxa, autosomal recessive, type iia	disease
wrinkly skin syndrome	disease
renal tubular acidosis, distal, autosomal recessive	disease
renal tubular acidosis, distal, with progressive nerve deafness	disease
spinal muscular atrophy, distal, x-linked 3	disease
mitochondrial complex v (atp synthase) deficiency, nuclear type 1;mc5dn1 mitochondrial complex v (atp synthase) deficiency, atpaf2 type	disease
seckel syndrome 1	disease
alpha-thalassemia myelodysplasia syndrome	disease
atr-x syndrome	disease
mental retardation-hypotonic facies syndrome, x-linked, 1	disease
thoracic diseases	disease
spinocerebellar ataxia 10	disease
machado-joseph disease	disease
3-methylglutaconic aciduria, type i	disease
spermatogenic failure 5	disease
genetic diseases, x-linked	disease
nephrogenic syndrome of inappropriate antidiuresis	disease
atrioventricular septal defect 3	disease
caudal duplication anomaly	disease
oligodontia-colorectal cancer syndrome	disease
spermatogenic failure, nonobstructive, y-linked	disease
hypoproteinemia, hypercatabolic	disease
krause-kivlin syndrome	disease
congenital disorder of glycosylation type 2d	disease
ehlers-danlos syndrome, progeroid form	disease
hypercholanemia, familial	disease
choroidal neovascularization	disease
retinal neovascularization	disease
rhinitis, vasomotor	disease
encephalopathy, bovine spongiform	disease
myopathy, myofibrillar 6, mfm6	disease
nevi and melanomas	disease
acitretin embryopathy	disease
alien hand syndrome	disease
chorioretinitis	disease
infant nutrition disorders	disease
larva migrans	disease
olfactory nerve injuries	disease
papillon-lefevre disease	disease
secernentea infections	disease
sparganosis	disease
williams syndrome	disease
maple syrup urine disease	disease
bamforth syndrome	disease
butyrylcholinesterase deficiency	disease
paralysis, obstetric	disease
pseudocholinesterase deficiency	disease
sweating, gustatory	disease
chondrosarcoma, mesenchymal	disease
t-lymphocytopenia	disease
hypercarotenemia and vitamin a deficiency, autosomal dominant	disease
microphthalmia, syndromic 2	disease
bjornstad syndrome	disease
finnish lethal neonatal metabolic syndrome	disease
leigh disease	disease
mitochondrial complex iii deficiency	disease
brachydactyly type a1	disease
chromosome 2q37 deletion syndrome	disease
absence of tibia	disease
headache disorders, secondary	disease
obesity, morbid	disease
wilms tumor, aniridia, genitourinary anomalies, mental retardation, and obesity syndrome	disease
spinocerebellar ataxia 31	disease
bestrophinopathy, autosomal recessive	disease
macular dystrophy, concentric annular	disease
macular dystrophy, vitelliform, adult-onset	disease
retinitis pigmentosa 50	disease
vitelliform macular dystrophy	disease
vitreoretinochoroidopathy	disease
cataract, cortical, juvenile-onset	disease
cataract, autosomal dominant	disease
cataract, autosomal dominant, multiple types 1	disease
mandibular diseases	disease
myopathies, structural, congenital	disease
myopathy, centronuclear, 2	disease
leukemia, megakaryoblastic, acute	disease
maturity-onset diabetes of the young, type 11	disease
bloom syndrome	disease
agammaglobulinemia 4, autosomal recessive	disease
albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells	disease
body mass index quantitative trait locus 4	disease
ovarian dysgenesis 2	disease
microphthalmia, syndromic 6	disease
orofacial cleft 11	disease
hamartoma syndrome, multiple	disease
juvenile polyposis syndrome	disease
polyposis syndrome, hereditary mixed, 2	disease
brachydactyly type a2	disease
chondrodysplasia, acromesomelic, with genital anomalies	disease
pulmonary edema of mountaineers	disease
bisphosphoglycerate mutase deficiency	disease
cardiofaciocutaneous syndrome	disease
costello syndrome	disease
leopard syndrome 3	disease
noonan syndrome	disease
noonan syndrome 7	disease
hereditary breast and ovarian cancer syndrome	disease
breast-ovarian cancer, familial, susceptibility to, 2	disease
fanconi anemia, complementation group d1	disease
fanconi anemia, complementation group j	disease
mental retardation, x-linked 93	disease
lipodystrophy, congenital generalized, type 2	disease
neuronopathy, distal hereditary motor, type va	disease
spastic paraplegia 17	disease
bartter syndrome, type 4a	disease
biotinidase deficiency	disease
bruton type agammaglobulinemia	disease
hypogammaglobulinemia and isolated growth hormone deficiency, x-linked	disease
mosaic variegated aneuploidy syndrome	disease
premature chromatid separation trait	disease
mitochondrial dna depletion syndrome 3 (hepatocerebral type)	disease
mitochondrial dna depletion syndrome 7 (hepatocerebral type)	disease
progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 3	disease
sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	disease
combined oxidative phosphorylation deficiency 7	disease
tn syndrome	disease
late-onset retinal degeneration	disease
complement component c1r/c1s deficiency	disease
complement component 2 deficiency	disease
macular degeneration, age-related, 9	disease
complement component 5 deficiency	disease
complement component 6 deficiency	disease
complement component 7 deficiency	disease
complement component 8 deficiency, type i	disease
complement component 8 deficiency, type ii	disease
hyperchlorhidrosis, isolated	disease
osteopetrosis with renal tubular acidosis	disease
retinitis pigmentosa 17	disease
cerebellar ataxia, mental retardation, and dysequilibrium syndrome 3	disease
anaplasia	disease
carcinoma, intraductal, noninfiltrating	disease
night blindness, congenital stationary, type 2b	disease
hemiplegic migraine, familial type 1	disease
migraine, familial hemiplegic, 1	disease
brugada syndrome 3	disease
timothy syndrome	disease
aland island eye disease	disease
cone-rod dystrophy, x-linked, 3	disease
night blindness, congenital stationary, type 2a	disease
hypokalemic periodic paralysis, type 1	disease
malignant hyperthermia susceptibility type 5	disease
thyrotoxic periodic paralysis, susceptibility to, 1	disease
retinal cone dystrophy 4	disease
brugada syndrome 4	disease
episodic ataxia, type 5	disease
spherocytosis, hereditary	disease
adiposis dolorosa	disease
myocardial bridging	disease
syphilis, secondary	disease
desbuquois syndrome	disease
diabetes mellitus, noninsulin-dependent, 1	disease
limb-girdle muscular dystrophy type 2a	disease
candidiasis, familial, 2	disease
